city,temperature,timestamp
Sydney,21.0,2025-01-15T13:58:33.437789
Paris,26.6,2024-11-01T13:58:33.437792
Sydney,19.3,2025-04-07T13:58:33.437796
Paris,33.9,2025-06-28T13:58:33.437800
Paris,23.9,2024-09-08T13:58:33.437803
Paris,20.2,2025-07-21T13:58:33.437806
Sydney,-3.9,2024-12-09T13:58:33.437810
Sydney,4.5,2025-02-13T13:58:33.437813
Paris,29.8,2024-10-14T13:58:33.437817
Tokyo,23.1,2025-02-01T13:58:33.437820
Tokyo,18.8,2024-10-16T13:58:33.437824
Paris,30.4,2025-03-08T13:58:33.437827
Sydney,21.0,2025-03-11T13:58:33.437831
Sydney,17.9,2025-04-04T13:58:33.437834
Sydney,1.7,2025-07-13T13:58:33.437838
London,3.5,2025-02-20T13:58:33.437841
Paris,-8.4,2025-05-15T13:58:33.437845
Paris,13.0,2025-03-28T13:58:33.437848
Tokyo,-2.9,2024-08-17T13:58:33.437852
London,-9.3,2025-01-03T13:58:33.437855
Sydney,18.6,2025-05-06T13:58:33.437858
London,34.7,2024-08-17T13:58:33.437862
New York,28.2,2024-12-17T13:58:33.437865
New York,2.4,2025-04-27T13:58:33.437869
London,34.6,2025-03-12T13:58:33.437872
Paris,28.7,2025-01-12T13:58:33.437876
Sydney,15.2,2025-01-17T13:58:33.437879
London,16.1,2025-03-18T13:58:33.437883
Paris,6.4,2025-01-08T13:58:33.437886
Tokyo,33.5,2025-07-08T13:58:33.437890
London,26.1,2025-02-20T13:58:33.437893
London,16.6,2025-04-14T13:58:33.437897
Sydney,-8.7,2024-12-19T13:58:33.437900
Paris,29.1,2024-10-07T13:58:33.437904
Sydney,10.6,2024-09-09T13:58:33.437907
Paris,-0.2,2024-11-02T13:58:33.437911
Tokyo,6.9,2024-11-26T13:58:33.437914
Paris,-4.7,2025-03-01T13:58:33.437918
Paris,9.5,2025-04-18T13:58:33.437921
Sydney,18.8,2025-05-15T13:58:33.437925
Sydney,35.0,2024-12-30T13:58:33.437928
Tokyo,-7.6,2024-09-17T13:58:33.437932
Tokyo,13.9,2024-12-15T13:58:33.437935
New York,17.7,2024-09-29T13:58:33.437939
New York,21.3,2024-11-14T13:58:33.437944
Sydney,17.6,2025-03-13T13:58:33.437948
Tokyo,13.0,2025-06-06T13:58:33.437952
Paris,32.7,2025-01-16T13:58:33.437955
Paris,11.9,2025-04-16T13:58:33.437959
London,11.0,2024-10-07T13:58:33.437962
New York,11.6,2025-01-02T13:58:33.437965
Tokyo,16.7,2025-01-16T13:58:33.437969
London,18.2,2025-05-28T13:58:33.437972
London,-1.7,2025-07-04T13:58:33.437976
Tokyo,5.6,2024-11-02T13:58:33.437979
Paris,0.0,2025-03-24T13:58:33.437984
Paris,32.5,2025-01-31T13:58:33.437988
London,29.6,2025-01-26T13:58:33.437991
London,11.9,2025-05-29T13:58:33.437995
Sydney,29.8,2025-03-29T13:58:33.437998
Paris,8.5,2025-06-28T13:58:33.438002
Sydney,27.8,2025-04-03T13:58:33.438005
New York,3.4,2025-05-17T13:58:33.438009
London,25.1,2024-09-30T13:58:33.438012
Sydney,-1.5,2025-06-24T13:58:33.438016
New York,33.4,2024-11-28T13:58:33.438019
Paris,16.2,2025-04-20T13:58:33.438023
Sydney,3.6,2025-02-21T13:58:33.438026
Sydney,2.3,2025-01-23T13:58:33.438030
London,-9.3,2025-02-04T13:58:33.438034
Paris,3.8,2025-01-02T13:58:33.438037
Sydney,18.8,2025-01-12T13:58:33.438040
Paris,2.7,2025-01-26T13:58:33.438044
New York,2.1,2025-05-01T13:58:33.438047
New York,22.9,2024-09-09T13:58:33.438051
New York,32.1,2024-11-22T13:58:33.438054
New York,3.8,2025-01-13T13:58:33.438058
Sydney,31.2,2025-03-19T13:58:33.438061
New York,-9.6,2024-08-14T13:58:33.438065
London,4.1,2025-02-20T13:58:33.438068
London,-5.5,2024-07-28T13:58:33.438072
Sydney,-5.3,2024-11-01T13:58:33.438075
London,29.3,2025-04-19T13:58:33.438078
Tokyo,26.0,2025-04-18T13:58:33.438082
Paris,27.1,2024-12-13T13:58:33.438085
Paris,-2.0,2025-06-16T13:58:33.438089
Tokyo,27.6,2025-07-25T13:58:33.438092
Sydney,12.5,2024-12-04T13:58:33.438096
New York,16.0,2025-01-22T13:58:33.438099
London,-7.9,2025-02-16T13:58:33.438103
Sydney,21.5,2024-10-25T13:58:33.438106
Sydney,7.1,2024-11-28T13:58:33.438110
London,-3.4,2025-06-02T13:58:33.438113
Tokyo,31.7,2024-12-28T13:58:33.438117
Paris,20.0,2024-10-04T13:58:33.438120
Tokyo,11.6,2024-12-08T13:58:33.438124
London,10.3,2024-10-09T13:58:33.438127
London,12.9,2025-02-16T13:58:33.438130
Paris,26.8,2024-10-03T13:58:33.438134
Tokyo,4.2,2024-10-03T13:58:33.438137
New York,13.5,2024-11-29T13:58:33.438141
Tokyo,15.9,2025-05-21T13:58:33.438144
Paris,19.0,2024-08-24T13:58:33.438148
London,3.5,2025-01-01T13:58:33.438151
Tokyo,32.1,2025-02-11T13:58:33.438175
London,25.8,2024-12-19T13:58:33.438185
New York,17.7,2025-07-12T13:58:33.438190
New York,6.1,2025-05-15T13:58:33.438195
Paris,12.7,2025-02-11T13:58:33.438199
Sydney,21.4,2024-10-30T13:58:33.438202
New York,32.4,2025-04-11T13:58:33.438206
Sydney,31.9,2025-01-07T13:58:33.438210
London,-1.5,2025-03-04T13:58:33.438213
Paris,-3.8,2024-12-16T13:58:33.438217
Paris,20.9,2025-03-23T13:58:33.438220
London,11.0,2024-09-06T13:58:33.438224
Sydney,5.8,2024-09-28T13:58:33.438227
London,28.9,2024-11-01T13:58:33.438231
Tokyo,15.3,2025-06-06T13:58:33.438234
Tokyo,12.4,2024-07-27T13:58:33.438238
New York,-7.7,2024-08-15T13:58:33.438242
Sydney,9.9,2024-08-28T13:58:33.438248
London,-5.0,2024-11-12T13:58:33.438252
New York,-6.0,2025-07-19T13:58:33.438255
Tokyo,4.7,2025-05-30T13:58:33.438259
Tokyo,-1.7,2025-02-06T13:58:33.438262
Paris,-4.7,2024-08-04T13:58:33.438620
Tokyo,-9.3,2024-12-05T13:58:33.438634
Tokyo,14.0,2025-05-29T13:58:33.438640
Tokyo,6.3,2025-07-02T13:58:33.438645
New York,-2.2,2025-03-27T13:58:33.438649
Paris,1.0,2024-12-20T13:58:33.438653
Tokyo,26.1,2024-10-17T13:58:33.438657
Sydney,6.1,2024-10-12T13:58:33.438661
Paris,25.8,2025-05-27T13:58:33.438664
Sydney,34.1,2025-07-03T13:58:33.438668
Tokyo,-5.2,2024-08-04T13:58:33.438672
Sydney,10.9,2025-04-06T13:58:33.438675
Paris,20.1,2025-01-30T13:58:33.438679
Sydney,28.5,2025-04-29T13:58:33.438683
London,12.3,2025-01-22T13:58:33.438686
Sydney,19.0,2024-11-17T13:58:33.438690
Paris,14.8,2025-06-30T13:58:33.438693
Tokyo,9.6,2024-08-05T13:58:33.438697
Tokyo,31.4,2025-01-16T13:58:33.438700
Tokyo,27.0,2025-03-20T13:58:33.438704
London,-5.9,2025-07-07T13:58:33.438707
Tokyo,24.5,2024-11-13T13:58:33.438711
Sydney,-8.3,2025-06-06T13:58:33.438714
London,-2.4,2025-01-06T13:58:33.438718
Sydney,14.8,2024-11-11T13:58:33.438721
New York,-8.6,2024-09-14T13:58:33.438725
London,-6.3,2025-02-16T13:58:33.438728
Tokyo,28.8,2025-02-13T13:58:33.438732
Tokyo,30.9,2025-06-04T13:58:33.438736
New York,18.7,2025-02-28T13:58:33.438739
Sydney,7.0,2025-04-25T13:58:33.438743
New York,-8.6,2024-10-30T13:58:33.438746
Sydney,-9.9,2025-01-15T13:58:33.438750
London,13.9,2025-01-29T13:58:33.438754
Sydney,5.1,2024-09-13T13:58:33.438757
Paris,4.4,2024-08-11T13:58:33.438761
Sydney,32.6,2025-06-27T13:58:33.438764
London,5.7,2024-08-13T13:58:33.438768
New York,31.3,2025-01-02T13:58:33.438771
Tokyo,-7.6,2024-11-17T13:58:33.438774
Sydney,29.9,2025-05-01T13:58:33.438778
Paris,16.0,2025-04-19T13:58:33.438782
Paris,23.8,2025-03-14T13:58:33.438787
New York,25.9,2025-06-16T13:58:33.438791
New York,-4.5,2025-06-08T13:58:33.438794
Sydney,-6.7,2025-01-16T13:58:33.438798
Tokyo,0.4,2024-12-27T13:58:33.438802
Sydney,15.9,2025-07-04T13:58:33.438805
Tokyo,2.8,2025-03-16T13:58:33.438809
Sydney,17.0,2025-01-15T13:58:33.438812
London,-4.9,2024-10-28T13:58:33.438815
Paris,10.8,2025-04-08T13:58:33.438819
Paris,-7.6,2024-11-29T13:58:33.438823
Paris,0.2,2025-04-22T13:58:33.438826
Sydney,-6.0,2025-03-10T13:58:33.438830
Sydney,26.8,2024-10-07T13:58:33.438833
Paris,-5.5,2025-07-26T13:58:33.438837
London,17.9,2025-07-05T13:58:33.438841
Tokyo,17.8,2025-07-23T13:58:33.438844
Tokyo,33.0,2025-04-29T13:58:33.438848
Sydney,18.1,2025-06-05T13:58:33.438851
Tokyo,5.6,2025-03-26T13:58:33.438855
Paris,27.4,2025-01-08T13:58:33.438858
New York,11.6,2024-10-28T13:58:33.438861
Tokyo,34.7,2025-02-01T13:58:33.438865
Tokyo,-2.3,2024-12-18T13:58:33.438869
London,33.0,2025-04-07T13:58:33.438872
Sydney,3.0,2024-10-27T13:58:33.438875
New York,32.6,2025-01-18T13:58:33.438879
Tokyo,19.6,2024-08-18T13:58:33.438882
Sydney,3.9,2025-03-01T13:58:33.438886
New York,20.3,2024-09-19T13:58:33.438889
Paris,10.3,2024-12-04T13:58:33.438893
New York,-6.7,2025-02-23T13:58:33.438896
Paris,-6.3,2024-10-07T13:58:33.438900
New York,30.2,2024-07-30T13:58:33.438903
London,-9.8,2024-10-25T13:58:33.438907
Sydney,-9.8,2025-07-08T13:58:33.438911
Sydney,16.9,2025-05-28T13:58:33.438914
Tokyo,-8.2,2025-04-05T13:58:33.438918
Tokyo,23.0,2024-10-26T13:58:33.438921
Sydney,20.7,2025-01-16T13:58:33.438924
Paris,24.9,2025-07-18T13:58:33.438928
Sydney,-8.5,2024-09-12T13:58:33.438931
Tokyo,17.5,2025-05-30T13:58:33.438935
Paris,-7.6,2025-05-06T13:58:33.438939
New York,-0.1,2024-10-08T13:58:33.438942
Paris,0.1,2024-11-13T13:58:33.438946
Tokyo,26.0,2025-05-17T13:58:33.438950
Paris,-9.9,2025-05-16T13:58:33.438953
Paris,15.6,2025-06-09T13:58:33.438957
New York,34.5,2025-01-05T13:58:33.438960
Paris,9.0,2024-07-31T13:58:33.438964
Tokyo,24.1,2024-10-16T13:58:33.438968
Sydney,-3.4,2025-05-03T13:58:33.438971
Paris,30.8,2024-08-30T13:58:33.438975
Tokyo,4.3,2025-03-10T13:58:33.438978
London,14.5,2025-03-11T13:58:33.438982
Sydney,18.9,2024-11-23T13:58:33.438985
London,32.7,2024-09-30T13:58:33.438989
Sydney,21.5,2025-02-28T13:58:33.438992
Tokyo,13.0,2025-04-28T13:58:33.438996
Tokyo,16.2,2024-10-19T13:58:33.438999
New York,6.2,2025-03-21T13:58:33.439003
New York,19.3,2025-01-18T13:58:33.439006
Tokyo,22.6,2024-12-05T13:58:33.439010
Paris,8.4,2025-05-19T13:58:33.439013
Sydney,31.3,2025-01-28T13:58:33.439017
Tokyo,11.3,2025-01-21T13:58:33.439020
London,3.4,2025-05-31T13:58:33.439024
London,4.0,2025-07-08T13:58:33.439028
Sydney,16.6,2024-09-22T13:58:33.439031
New York,-7.5,2025-04-02T13:58:33.439035
New York,4.0,2024-09-27T13:58:33.439038
London,1.7,2024-09-04T13:58:33.439042
London,4.2,2025-07-14T13:58:33.439045
London,23.6,2024-11-25T13:58:33.439049
Tokyo,19.6,2024-12-24T13:58:33.439052
Tokyo,-8.8,2024-09-21T13:58:33.439056
Paris,5.6,2025-01-04T13:58:33.439059
Paris,34.2,2025-03-25T13:58:33.439062
London,5.3,2025-03-22T13:58:33.439066
Sydney,19.2,2025-07-22T13:58:33.439069
Paris,10.3,2025-05-26T13:58:33.439073
London,15.1,2025-05-02T13:58:33.439076
Paris,-4.8,2025-06-17T13:58:33.439080
New York,3.3,2024-09-28T13:58:33.439083
London,-2.5,2024-11-26T13:58:33.439086
Paris,22.3,2024-09-30T13:58:33.439090
Tokyo,19.1,2024-09-13T13:58:33.439094
London,4.5,2025-04-05T13:58:33.439097
Paris,20.1,2024-09-03T13:58:33.439101
Tokyo,4.6,2024-12-18T13:58:33.439104
London,22.3,2025-04-14T13:58:33.439108
Paris,-4.0,2025-07-07T13:58:33.439111
New York,-9.7,2024-09-20T13:58:33.439114
Paris,19.2,2025-02-14T13:58:33.439118
Sydney,30.9,2025-03-15T13:58:33.439121
New York,-0.6,2025-04-04T13:58:33.439125
Tokyo,22.6,2024-11-10T13:58:33.439129
Paris,3.7,2025-07-09T13:58:33.439132
Tokyo,16.2,2024-08-10T13:58:33.439136
New York,0.3,2024-12-06T13:58:33.439139
Paris,22.0,2025-03-24T13:58:33.439143
Paris,22.9,2025-03-10T13:58:33.439146
Tokyo,30.5,2025-01-29T13:58:33.439150
Sydney,28.6,2025-01-23T13:58:33.439153
London,9.7,2025-06-06T13:58:33.439157
New York,20.6,2025-04-23T13:58:33.439160
Paris,10.4,2025-02-19T13:58:33.439164
Sydney,20.4,2025-02-28T13:58:33.439167
Paris,17.1,2025-03-15T13:58:33.439171
Tokyo,24.3,2024-11-17T13:58:33.439174
Paris,13.9,2025-03-12T13:58:33.439178
New York,3.2,2024-10-27T13:58:33.439181
New York,18.5,2025-04-01T13:58:33.439184
New York,23.0,2024-10-06T13:58:33.439188
Sydney,-6.9,2025-03-12T13:58:33.439192
New York,9.0,2024-10-11T13:58:33.439195
Paris,22.6,2024-09-11T13:58:33.439199
Tokyo,7.6,2025-05-07T13:58:33.439202
Tokyo,5.0,2025-06-23T13:58:33.439206
Tokyo,26.3,2025-02-03T13:58:33.439209
London,26.5,2024-10-19T13:58:33.439212
Sydney,16.8,2024-10-19T13:58:33.439216
Paris,25.2,2025-05-29T13:58:33.439220
London,20.6,2025-06-17T13:58:33.439224
New York,-1.9,2025-02-23T13:58:33.439227
New York,25.1,2025-02-05T13:58:33.439231
Sydney,-9.0,2024-08-24T13:58:33.439234
Sydney,2.6,2025-02-06T13:58:33.439237
Paris,-5.6,2025-07-10T13:58:33.439241
London,11.9,2024-10-12T13:58:33.439244
Paris,7.4,2025-06-26T13:58:33.439248
Tokyo,27.4,2025-06-19T13:58:33.439251
New York,-6.0,2025-04-23T13:58:33.439254
Sydney,16.0,2024-12-25T13:58:33.439258
Sydney,21.6,2024-12-03T13:58:33.439261
Sydney,-8.5,2025-05-18T13:58:33.439265
London,11.9,2024-09-30T13:58:33.439268
Tokyo,-9.0,2025-02-23T13:58:33.439272
Sydney,12.3,2025-03-15T13:58:33.439275
Sydney,-6.9,2024-10-23T13:58:33.439279
New York,14.5,2025-05-12T13:58:33.439282
London,14.9,2025-01-04T13:58:33.439286
Tokyo,1.4,2025-04-09T13:58:33.439290
Tokyo,-3.6,2025-06-24T13:58:33.439293
Tokyo,-1.0,2025-01-19T13:58:33.439297
London,19.1,2025-03-31T13:58:33.439300
Tokyo,19.9,2024-08-13T13:58:33.439303
Tokyo,-5.0,2024-10-25T13:58:33.439307
Tokyo,27.6,2025-07-20T13:58:33.439310
London,9.1,2025-03-15T13:58:33.439314
Sydney,-7.5,2025-04-27T13:58:33.439317
Paris,-10.0,2025-04-25T13:58:33.439321
Sydney,26.1,2025-05-19T13:58:33.439324
Sydney,9.2,2025-04-01T13:58:33.439328
London,11.8,2025-03-03T13:58:33.439331
Tokyo,10.7,2024-10-21T13:58:33.439335
New York,29.3,2024-10-09T13:58:33.439338
London,8.9,2025-07-13T13:58:33.439342
Sydney,3.7,2024-09-30T13:58:33.439345
New York,6.0,2025-07-13T13:58:33.439349
London,-0.2,2025-07-13T13:58:33.439352
Tokyo,16.1,2025-01-12T13:58:33.439356
Tokyo,8.9,2024-09-29T13:58:33.439359
London,10.7,2025-03-05T13:58:33.439363
New York,-6.7,2025-07-18T13:58:33.439613
London,11.4,2025-04-16T13:58:33.439625
London,15.7,2024-12-29T13:58:33.439631
London,12.3,2025-05-22T13:58:33.439635
Sydney,34.2,2024-10-01T13:58:33.439639
Sydney,-7.1,2024-11-10T13:58:33.439644
Paris,-6.6,2024-08-19T13:58:33.439648
Tokyo,24.5,2024-11-03T13:58:33.439651
New York,25.1,2025-06-30T13:58:33.439655
London,18.2,2024-12-06T13:58:33.439659
Sydney,9.8,2025-04-09T13:58:33.439663
Sydney,10.4,2024-12-12T13:58:33.439667
Paris,19.2,2025-03-21T13:58:33.439671
Sydney,5.8,2025-01-30T13:58:33.439674
Tokyo,-7.5,2025-05-05T13:58:33.439678
Sydney,32.1,2024-12-29T13:58:33.439681
Tokyo,-1.9,2025-06-26T13:58:33.439685
New York,6.3,2025-03-05T13:58:33.439688
Tokyo,18.2,2024-08-07T13:58:33.439692
New York,8.8,2024-10-13T13:58:33.439695
Tokyo,-2.0,2024-09-17T13:58:33.439699
New York,12.4,2025-06-21T13:58:33.439702
New York,26.3,2024-09-07T13:58:33.439706
New York,-9.5,2024-11-24T13:58:33.439709
New York,25.8,2025-05-11T13:58:33.439713
Paris,20.7,2025-05-29T13:58:33.439716
Tokyo,8.5,2024-09-23T13:58:33.439720
Paris,1.9,2025-07-24T13:58:33.439724
Tokyo,-5.3,2025-03-12T13:58:33.439727
Paris,12.6,2025-01-20T13:58:33.439730
Sydney,22.0,2025-07-18T13:58:33.439734
Paris,-4.4,2024-09-20T13:58:33.439737
New York,21.2,2024-08-15T13:58:33.439741
Tokyo,31.9,2024-12-20T13:58:33.439744
Tokyo,6.0,2024-12-16T13:58:33.439748
London,9.3,2025-01-10T13:58:33.439751
Paris,3.4,2024-12-26T13:58:33.439755
London,-7.7,2025-04-30T13:58:33.439758
Paris,-1.2,2025-06-08T13:58:33.439761
Sydney,-0.1,2025-07-11T13:58:33.439765
Paris,26.5,2025-06-13T13:58:33.439781
Tokyo,26.5,2025-06-24T13:58:33.439787
London,0.9,2025-05-08T13:58:33.439790
London,-1.3,2025-07-09T13:58:33.439794
Paris,32.1,2025-03-16T13:58:33.439797
New York,6.3,2025-01-18T13:58:33.439801
London,28.7,2025-01-20T13:58:33.439804
Sydney,2.8,2024-10-27T13:58:33.439808
New York,11.5,2024-08-17T13:58:33.439811
Sydney,24.9,2024-10-14T13:58:33.439815
Tokyo,31.1,2024-10-23T13:58:33.439818
Paris,27.8,2024-11-30T13:58:33.439822
London,33.2,2025-04-07T13:58:33.439825
New York,0.2,2024-11-03T13:58:33.439829
London,3.9,2025-06-22T13:58:33.439833
Tokyo,32.0,2025-06-17T13:58:33.439836
New York,14.7,2025-07-10T13:58:33.439840
Sydney,26.6,2024-09-23T13:58:33.439843
Tokyo,31.8,2024-11-18T13:58:33.439847
Tokyo,-9.2,2025-04-04T13:58:33.439850
New York,-6.3,2024-11-25T13:58:33.439853
New York,-2.6,2025-05-22T13:58:33.439857
London,1.5,2024-11-13T13:58:33.439860
Paris,25.8,2025-01-31T13:58:33.439863
London,11.0,2024-09-25T13:58:33.439867
London,6.7,2025-03-03T13:58:33.439871
Sydney,29.6,2025-05-24T13:58:33.439874
Sydney,1.0,2024-11-26T13:58:33.439877
New York,10.9,2025-03-14T13:58:33.439881
New York,23.2,2025-06-15T13:58:33.439884
London,33.8,2025-01-20T13:58:33.439887
London,1.6,2025-05-23T13:58:33.439891
New York,9.5,2024-10-27T13:58:33.439894
Paris,13.7,2025-02-18T13:58:33.439898
New York,-3.0,2024-07-28T13:58:33.439901
New York,25.5,2025-04-25T13:58:33.439905
London,0.9,2025-03-21T13:58:33.439908
Tokyo,26.9,2025-02-18T13:58:33.439912
London,33.6,2025-01-06T13:58:33.439916
Tokyo,16.2,2025-04-28T13:58:33.439919
New York,24.1,2025-01-30T13:58:33.439923
Tokyo,23.3,2024-10-06T13:58:33.439926
Paris,1.4,2024-12-20T13:58:33.439930
London,28.0,2024-08-08T13:58:33.439933
Tokyo,12.2,2025-05-19T13:58:33.439937
New York,16.0,2025-07-08T13:58:33.439940
Sydney,12.9,2025-03-28T13:58:33.439943
Sydney,-3.5,2025-05-03T13:58:33.439947
Tokyo,18.5,2024-12-27T13:58:33.439950
London,-6.1,2024-11-03T13:58:33.439954
Paris,0.1,2024-08-30T13:58:33.439959
New York,22.5,2024-10-30T13:58:33.439962
Paris,-3.6,2025-03-04T13:58:33.439966
London,-2.4,2025-04-20T13:58:33.439970
New York,34.0,2024-11-15T13:58:33.439974
London,28.2,2025-02-02T13:58:33.439977
Tokyo,6.3,2024-10-14T13:58:33.439980
Tokyo,-1.9,2024-08-28T13:58:33.439984
Paris,9.3,2024-10-25T13:58:33.439987
Sydney,27.0,2025-05-22T13:58:33.439991
Tokyo,-5.9,2025-06-17T13:58:33.439994
London,33.9,2025-06-13T13:58:33.439997
New York,-0.5,2024-12-02T13:58:33.440001
London,14.0,2025-02-23T13:58:33.440005
New York,3.2,2025-07-05T13:58:33.440008
London,6.9,2025-02-26T13:58:33.440011
Tokyo,2.1,2025-06-22T13:58:33.440015
New York,21.4,2024-08-05T13:58:33.440018
London,26.5,2025-06-18T13:58:33.440022
Paris,3.1,2025-05-02T13:58:33.440026
Sydney,1.6,2024-09-15T13:58:33.440029
London,16.6,2025-07-03T13:58:33.440033
Sydney,29.4,2025-03-12T13:58:33.440036
Paris,19.5,2025-04-07T13:58:33.440039
Tokyo,14.6,2024-11-22T13:58:33.440043
Tokyo,-8.5,2024-11-09T13:58:33.440046
Tokyo,7.8,2024-08-19T13:58:33.440049
Sydney,23.5,2025-04-22T13:58:33.440053
Paris,-3.1,2025-04-15T13:58:33.440056
Paris,29.2,2025-03-31T13:58:33.440060
Sydney,-7.0,2025-02-09T13:58:33.440063
Paris,-9.9,2025-03-08T13:58:33.440066
New York,31.8,2025-05-09T13:58:33.440070
Paris,12.5,2024-07-26T13:58:33.440073
Sydney,8.0,2024-09-03T13:58:33.440077
Paris,27.6,2025-06-20T13:58:33.440080
Sydney,-7.6,2024-08-14T13:58:33.440084
Sydney,32.7,2024-10-20T13:58:33.440087
London,-9.0,2025-05-24T13:58:33.440091
Paris,23.8,2025-07-13T13:58:33.440094
London,4.9,2025-04-21T13:58:33.440098
Sydney,23.2,2025-06-28T13:58:33.440101
London,5.4,2025-03-02T13:58:33.440104
London,-9.0,2024-11-04T13:58:33.440108
Tokyo,2.2,2025-07-08T13:58:33.440111
Paris,13.4,2024-08-27T13:58:33.440115
Paris,31.3,2024-10-04T13:58:33.440118
Sydney,13.6,2025-06-02T13:58:33.440121
London,-2.9,2025-04-30T13:58:33.440125
Tokyo,4.8,2025-06-26T13:58:33.440128
London,-9.3,2025-01-22T13:58:33.440131
New York,25.0,2025-07-23T13:58:33.440135
London,27.6,2025-04-23T13:58:33.440138
New York,26.5,2025-07-01T13:58:33.440141
Sydney,27.6,2025-04-28T13:58:33.440145
New York,10.4,2024-09-12T13:58:33.440148
New York,26.5,2025-05-19T13:58:33.440152
New York,20.1,2024-10-14T13:58:33.440155
London,-3.7,2024-11-10T13:58:33.440158
Paris,-1.5,2024-10-02T13:58:33.440162
London,29.2,2025-06-26T13:58:33.440165
New York,-6.1,2025-02-06T13:58:33.440169
Sydney,16.3,2025-06-14T13:58:33.440172
New York,32.3,2025-04-04T13:58:33.440175
New York,17.7,2025-05-07T13:58:33.440179
London,9.0,2025-05-20T13:58:33.440182
Paris,19.2,2025-06-10T13:58:33.440186
New York,16.9,2024-12-24T13:58:33.440189
London,14.1,2025-03-14T13:58:33.440192
Paris,14.8,2024-10-27T13:58:33.440196
Sydney,8.8,2024-10-29T13:58:33.440199
Tokyo,-0.7,2024-12-04T13:58:33.440203
